,usable_area,land_area,bedroom,bathroom,price,land_price,Giaytohople,Hopdongmuaban,Khongxacdinh,Sodo,Sohong
10301,68.0,68.0,2.0,2.0,1175.0,6189360.0,0,0,0,0,1
10302,240.0,61.0,6.0,4.0,7200.0,5328000.0,0,0,0,0,1
10303,90.0,90.0,2.0,2.0,1550.0,3996000.0,0,0,1,0,0
10304,114.54,42.8,3.0,3.0,6950.0,18625800.0,0,0,0,0,1
10305,76.0,76.0,2.0,2.0,1330.0,2306933.3333333335,0,0,0,0,1
10306,160.0,65.0,4.0,4.0,5600.0,1065600.0,0,0,0,0,1
10307,58.0,58.0,5.0,4.0,6400.0,22527333.333333332,0,0,0,1,0
10308,72.0,72.0,3.0,2.0,1880.0,7636800.0,0,0,0,0,1
10309,1.0,1.0,3.0,2.0,1600.0,7681200.0,0,0,0,0,1
10310,60.0,60.0,2.0,2.0,1550.0,5490800.0,0,0,0,0,1
10311,51.0,51.0,2.0,2.0,1770.0,10774400.0,0,0,0,0,1
10312,160.0,160.0,35.0,35.0,40000.0,6976166.666666667,0,0,0,0,1
10313,57.0,57.0,3.0,3.0,1390.0,5490800.0,0,0,0,0,1
10314,43.0,43.0,2.0,2.0,1620.0,1864800.0,0,0,0,0,1
10315,57.0,57.0,3.0,3.0,2490.0,12254400.0,0,0,0,0,1
10316,64.0,64.0,3.0,2.0,1030.0,4262400.0,0,0,0,0,1
10317,80.0,80.0,2.0,2.0,3140.0,9190800.0,0,0,0,0,1
10318,250.0,250.0,4.0,4.0,12500.0,3330000.0,0,0,0,0,1
10319,98.0,98.0,2.0,2.0,2235.0,3330000.0,0,0,0,0,1
10320,82.0,82.0,2.0,2.0,6350.0,9190800.0,0,1,0,0,0
10321,1.0,1.0,2.0,2.0,2790.0,16872000.0,0,0,0,0,1
10322,50.0,50.0,2.0,2.0,1560.0,5461200.0,0,0,1,0,0
10323,1.0,1.0,2.0,2.0,1400.0,3374400.0,0,0,1,0,0
10324,80.0,80.0,2.0,2.0,1390.0,3552000.0,0,0,0,0,1
10325,243.0,81.0,2.0,3.0,36000.0,25352416.666666668,0,0,0,0,1
10326,56.0,56.0,2.0,2.0,1750.0,8214000.0,0,0,0,0,1
10327,65.0,65.0,2.0,2.0,1330.0,1065600.0,0,0,0,0,1
10328,73.0,73.0,3.0,2.0,1675.0,10656000.0,0,0,0,0,1
10329,53.2,53.2,3.0,4.0,2160.0,6482400.0,0,0,0,0,1
10330,45.0,45.0,2.0,2.0,1790.0,7459200.0,0,0,0,0,1
10331,83.0,83.0,2.0,2.0,1630.0,10656000.0,0,0,0,0,1
10332,72.0,72.0,2.0,2.0,1170.0,12609600.0,0,0,0,0,1
10333,55.0,55.0,3.0,3.0,2450.0,21667250.0,0,0,0,0,1
10334,400.0,101.0,4.0,4.0,240000.0,71928000.0,0,0,1,0,0
10335,1.0,1.0,2.0,2.0,1570.0,5490800.0,0,0,0,0,1
10336,76.0,76.0,2.0,2.0,1310.0,2131200.0,0,0,0,0,1
10337,57.0,57.0,2.0,3.0,1583.0,3285600.0,0,0,0,0,1
10338,120.0,120.0,3.0,2.0,5599.0,3330000.0,0,0,0,0,1
10339,150.0,50.0,3.0,3.0,2145.0,4262400.0,0,0,0,0,1
10340,69.0,69.0,4.0,4.0,3740.0,11055600.0,0,0,0,0,1
10341,56.83,56.83,2.0,2.0,1365.0,2220000.0,0,0,0,0,1
10342,56.0,56.0,4.0,5.0,7880.0,18781200.0,0,0,0,0,1
10343,110.0,110.0,2.0,2.0,1660.0,1598400.0,0,0,0,0,1
10344,70.0,70.0,2.0,2.0,1330.0,4728600.0,1,0,0,0,0
10345,450.0,270.0,6.0,6.0,65000.0,32556291.666666668,0,0,0,0,1
10346,58.0,58.0,3.0,2.0,660.0,20946583.333333332,0,0,0,1,0
10347,50.0,50.0,2.0,2.0,1990.0,6216000.0,0,0,0,0,1
10348,1.0,1.0,2.0,2.0,2299.0,9634800.0,0,0,0,0,1
10349,100.0,100.0,4.0,4.0,23000.0,16559000.0,0,0,0,1,0
10350,1.0,1.0,2.0,2.0,1950.0,1687200.0,0,0,0,0,1
10351,50.0,50.0,3.0,2.0,2760.0,2220000.0,0,0,0,0,1
10352,75.0,75.0,2.0,2.0,1680.0,9812400.0,0,0,0,0,1
10353,1.0,1.0,2.0,1.0,1669.0,2220000.0,0,0,1,0,0
10354,45.0,45.0,2.0,2.0,1790.0,7459200.0,0,0,0,0,1
10355,83.0,83.0,2.0,2.0,1630.0,10656000.0,0,0,0,0,1
10356,72.0,72.0,2.0,2.0,1170.0,12609600.0,0,0,0,0,1
10357,55.0,55.0,3.0,3.0,2450.0,21667250.0,0,0,0,0,1
10358,400.0,101.0,4.0,4.0,240000.0,71928000.0,0,0,1,0,0
10359,1.0,1.0,2.0,2.0,1570.0,5490800.0,0,0,0,0,1
10360,76.0,76.0,2.0,2.0,1310.0,2131200.0,0,0,0,0,1
10361,57.0,57.0,2.0,3.0,1583.0,3285600.0,0,0,0,0,1
10362,120.0,120.0,3.0,2.0,5599.0,3330000.0,0,0,0,0,1
10363,150.0,50.0,3.0,3.0,2145.0,4262400.0,0,0,0,0,1
10364,69.0,69.0,4.0,4.0,3740.0,11055600.0,0,0,0,0,1
10365,56.83,56.83,2.0,2.0,1365.0,2220000.0,0,0,0,0,1
10366,56.0,56.0,4.0,5.0,7880.0,18781200.0,0,0,0,0,1
10367,110.0,110.0,2.0,2.0,1660.0,1598400.0,0,0,0,0,1
10368,70.0,70.0,2.0,2.0,1330.0,4728600.0,1,0,0,0,0
10369,450.0,270.0,6.0,6.0,65000.0,32556291.666666668,0,0,0,0,1
10370,58.0,58.0,3.0,2.0,660.0,20946583.333333332,0,0,0,1,0
10371,50.0,50.0,2.0,2.0,1990.0,6216000.0,0,0,0,0,1
10372,1.0,1.0,2.0,2.0,2299.0,9634800.0,0,0,0,0,1
10373,100.0,100.0,4.0,4.0,23000.0,16559000.0,0,0,0,1,0
10374,1.0,1.0,2.0,2.0,1950.0,1687200.0,0,0,0,0,1
10375,50.0,50.0,3.0,2.0,2760.0,2220000.0,0,0,0,0,1
10376,75.0,75.0,2.0,2.0,1680.0,9812400.0,0,0,0,0,1
10377,1.0,1.0,2.0,1.0,1669.0,2220000.0,0,0,1,0,0
10378,160.0,56.0,3.0,3.0,5900.0,6393600.0,0,0,0,0,1
10379,96.0,96.0,3.0,2.0,2150.0,4084750.0,0,0,0,0,1
10380,84.0,84.0,2.0,2.0,1620.0,2264400.0,0,0,0,0,1
10381,64.0,64.0,2.0,2.0,1410.0,5490800.0,0,0,0,0,1
10382,1741.45,274.4,12.0,13.0,85000.0,25396800.0,0,0,0,0,1
10383,80.0,80.0,4.0,3.0,8500.0,15277166.666666666,0,0,0,1,0
10384,56.6,56.6,,,4100.0,1065600.0,0,0,0,0,1
10385,50.0,50.0,2.0,2.0,1990.0,10789200.0,0,0,0,0,1
10386,1.0,1.0,3.0,2.0,2299.0,5128200.0,0,0,0,0,1
10387,48.0,48.0,2.0,2.0,1650.0,8580300.0,0,0,0,0,1
10388,170.0,170.0,,,39900.0,6976166.666666667,0,0,0,0,1
10389,55.0,55.0,3.0,3.0,1285.0,2486400.0,0,0,0,0,1
10390,68.0,68.0,4.0,2.0,2180.0,1864800.0,0,0,0,0,1
10391,64.0,64.0,3.0,2.0,895.0,7636800.0,0,0,0,0,1
10392,59.0,59.0,3.0,3.0,3150.0,16872000.0,0,0,0,0,1
10393,89.0,89.0,2.0,2.0,2300.0,3774000.0,0,0,0,0,1
10394,86.0,86.0,2.0,2.0,3120.0,16605600.0,0,0,0,0,1
10395,82.0,82.0,2.0,2.0,1251.0,6189360.0,0,0,0,0,1
10396,1.0,1.0,2.0,2.0,1789.0,5283600.0,0,0,1,0,0
10397,1.0,1.0,3.0,2.0,2200.0,2131200.0,0,0,0,0,1
10398,473.0,81.0,10.0,6.0,45000.0,28904375.0,0,0,0,0,1
10399,87.0,87.0,3.0,2.0,2250.0,13009200.0,0,0,0,0,1
10400,55.0,55.0,4.0,4.0,1570.0,11188800.0,0,0,0,0,1
10401,97.0,97.0,3.0,2.0,1980.0,3996000.0,0,0,0,0,1
10402,97.0,97.0,2.0,2.0,12000.0,1953566.6666666667,0,0,0,0,1
10403,69.0,69.0,2.0,2.0,1944.0,9634800.0,0,0,0,0,1
10404,51.0,51.0,2.0,2.0,1870.0,7525800.0,0,0,0,0,1
10405,60.0,60.0,2.0,2.0,2280.0,8791200.0,0,0,0,0,1
10406,70.0,70.0,2.0,2.0,1265.0,1460760.0,0,0,0,0,1
10407,70.0,70.0,2.0,2.0,1150.0,1198800.0,0,0,0,0,1
10408,200.0,118.0,2.0,2.0,45000.0,26373583.333333332,0,0,0,0,1
10409,1.0,1.0,2.0,2.0,1250.0,3907200.0,0,0,0,0,1
10410,72.0,72.0,2.0,2.0,1480.0,1598400.0,0,0,0,0,1
10411,36.0,36.0,2.0,2.0,1590.0,2042400.0,0,0,0,0,1
10412,147.0,147.0,3.0,2.0,7500.0,3330000.0,0,0,0,0,1
10413,111.0,55.3,3.0,2.0,2102.0,9634800.0,0,0,0,0,1
10414,56.0,56.0,3.0,3.0,2270.0,4647200.0,0,0,0,0,1
10415,50.0,50.0,1.0,1.0,1685.0,8524800.0,0,0,0,0,1
10416,45.0,45.0,5.0,5.0,5800.0,22954800.0,0,0,0,0,1
10417,88.0,88.0,2.0,2.0,1720.0,9634800.0,0,0,0,0,1
10418,66.0,66.0,2.0,2.0,1350.0,3996000.0,0,0,0,0,1
10419,500.0,120.0,15.0,16.0,41000.0,27972000.0,0,0,0,0,1
10420,48.0,48.0,2.0,1.0,600.0,12277777.777777778,0,0,0,1,0
10421,60.0,60.0,2.0,2.0,2290.0,8347200.0,0,0,0,0,1
10422,1.0,1.0,2.0,2.0,2700.0,7237200.0,0,0,0,0,1
10423,95.0,95.0,3.0,3.0,19500.0,20417500.0,0,0,0,1,0
10424,1.0,1.0,2.0,2.0,2330.0,1065600.0,0,0,0,0,1
10425,60.0,60.0,2.0,2.0,2890.0,2220000.0,0,0,0,0,1
10426,70.0,70.0,2.0,2.0,1530.0,5683200.0,1,0,0,0,0
10427,1.0,1.0,3.0,,3100.0,3330000.0,0,0,0,0,1
10428,100.0,52.0,2.0,2.0,4350.0,5194800.0,0,0,0,0,1
10429,74.0,74.0,2.0,2.0,1550.0,3996000.0,0,0,0,0,1
10430,55.0,55.0,2.0,3.0,1525.0,19491600.0,0,0,0,0,1
10431,101.12,50.66,3.0,1.0,2300.0,2331000.0,0,0,0,0,1
10432,62.0,62.0,2.0,2.0,1650.0,15584400.0,0,0,0,0,1
10433,43.0,43.0,2.0,2.0,4550.0,30185083.333333332,0,0,0,1,0
10434,82.0,82.0,,,5500.0,3702960.0,0,0,0,0,1
10435,1.0,1.0,3.0,2.0,1729.0,3774000.0,0,0,0,0,1
10436,48.0,48.0,2.0,2.0,1650.0,13506480.0,0,0,0,0,1
10437,61.2,61.2,3.0,4.0,2530.0,6216000.0,0,0,0,0,1
10438,51.0,51.0,3.0,3.0,2015.0,15140400.0,0,0,0,0,1
10439,69.75,69.75,2.0,2.0,1540.0,5328000.0,0,0,0,0,1
10440,64.0,64.0,3.0,2.0,895.0,8628400.0,0,0,0,0,1
10441,58.0,58.0,3.0,3.0,2390.0,5034960.0,0,0,0,0,1
10442,60.0,60.0,2.0,1.0,1390.0,10656000.0,0,0,0,0,1
10443,69.0,69.0,2.0,2.0,1015.0,6189360.0,0,0,0,0,1
10444,1.0,1.0,2.0,2.0,2700.0,488400.0,0,0,1,0,0
10445,1.0,1.0,2.0,2.0,2100.0,3774000.0,0,0,0,0,1
